x,y,code,name
4.490548,2.5670817,C04B40,Placeholder
8.69404,1.3807842,A62D1,Placeholder
12.90625,8.761724,H01Q7,Placeholder
9.850538,8.472594,H04S3,Placeholder
4.6748824,3.2751193,C23F11,Placeholder
9.792761,0.8887858,F03B3,Placeholder
9.940449,4.480669,A01K27,Placeholder
11.81097,4.3490157,G05G9,Placeholder
10.367355,2.8890269,B25F5,Placeholder
11.815691,4.2051167,B62D7,Placeholder
7.621824,0.5007499,F24C3,Placeholder
6.721016,1.4552606,C21B7,Placeholder
9.426932,3.6725206,B65D90,Placeholder
7.325461,2.9644475,B21C51,Placeholder
12.555006,3.1221638,F16D66,Placeholder
7.190857,6.6488743,H05H1,Placeholder
10.437651,6.1325297,G01C5,Placeholder
11.1319685,3.993139,B60R19,Placeholder
8.714986,7.5440855,G03B11,Placeholder
6.752379,3.6922975,B29C70,Placeholder
11.856867,3.2934585,B62M9,Placeholder
9.923158,0.45539695,F02M37,Placeholder
11.381091,8.393948,H04L7,Placeholder
10.736044,5.4479628,B25J19,Placeholder
5.4674163,2.7599578,C23C28,Placeholder
9.741727,5.447721,G04B37,Placeholder
8.2603655,4.2514286,B65B9,Placeholder
8.963549,5.4457216,A62B9,Placeholder
12.2805195,7.5589857,G01R15,Placeholder
5.8962665,3.301228,C03C27,Placeholder
11.187224,4.4339533,B62D63,Placeholder
4.6856723,3.1318367,H01B3,Placeholder
11.383267,3.642728,F16F15,Placeholder
9.87914,-0.17534745,F02D37,Placeholder
7.250424,3.425783,B29C65,Placeholder
4.8221536,3.5825691,B05D5,Placeholder
7.9816976,6.7204113,H01L21,Placeholder
9.244814,6.6665173,H04R17,Placeholder
3.8513703,6.514147,A01M1,Placeholder
3.1982248,4.4967465,A61Q15,Placeholder
8.356575,3.9879003,B65B39,Placeholder
7.6302977,-0.61924994,F24S10,Placeholder
10.701493,7.721434,G06F8,Placeholder
13.412569,6.6911664,H01F3,Placeholder
5.269497,2.9523916,C25D13,Placeholder
7.793724,3.9040184,B31F1,Placeholder
6.589804,1.3821061,C03B5,Placeholder
8.946028,6.5976715,A61N7,Placeholder
8.042043,5.6576066,A61C13,Placeholder
11.785244,2.9849133,F16H35,Placeholder
11.192422,4.595361,B62B5,Placeholder
8.805549,7.034704,G09F9,Placeholder
7.0689974,-0.15332858,H01L35,Placeholder
7.0508065,3.448761,B29C51,Placeholder
10.333595,1.0401988,F04C2,Placeholder
12.320366,7.17734,B60L11,Placeholder
7.6396346,0.56588215,F24C7,Placeholder
7.6209226,8.746889,F21W101,Placeholder
9.62624,0.9085885,A01G20,Placeholder
12.859993,8.780222,H01P5,Placeholder
4.7961674,6.091103,A01G27,Placeholder
3.3236454,2.70562,C08L91,Placeholder
4.927305,2.539353,B82Y30,Placeholder
13.307085,6.92121,H01F5,Placeholder
7.001747,1.4619519,B03B5,Placeholder
8.971718,3.1668894,B26F1,Placeholder
10.992315,8.450448,G01S11,Placeholder
10.594646,4.7860904,A63H1,Placeholder
9.945649,0.0019221281,F02D11,Placeholder
12.799011,7.1298466,H01H47,Placeholder
9.146708,-0.07835386,F02M31,Placeholder
4.564408,1.7146801,H01M2,Placeholder
10.688011,2.4088383,B25C1,Placeholder
10.5450325,2.881098,B25B21,Placeholder
6.9594316,2.6924698,B21B37,Placeholder
11.840185,8.452263,H03L7,Placeholder
6.5544443,3.0110478,B29C67,Placeholder
3.420158,6.448237,A01P1,Placeholder
11.071283,7.2157254,E05B49,Placeholder
3.2651474,3.239908,C08L13,Placeholder
4.8451853,0.3326206,C10L1,Placeholder
6.7319775,1.4074403,F27D3,Placeholder
4.850298,4.434251,D06P5,Placeholder
9.628859,3.639401,B25J15,Placeholder
