x,y,code,name,name_full
9.948214,13.156586,H01Q9,Electrically-short antennas having dimensions n...,"Electrically-short antennas having dimensions not more than twice the operating wavelength and consisting of conductive active radiating elements[1,2006.01]"
10.943446,5.4518266,B60C25,"Apparatus or tools adapted for mounting, removi...","Apparatus or tools adapted for mounting, removing or inspecting tyres (testing of tyres G01M"
7.843255,0.7189481,B01F35,and relating to the nature of the mixed materia...,"and relating to the nature of the mixed materials, the field of application and complementary technical information about mixing    [2022.01]"
6.351775,2.12593,C21D7,Modifying the physical properties of iron or st...,"Modifying the physical properties of iron or steel by deformation (apparatus for mechanical working of metal B21, B23, B24)[1,2006.01]"
8.929712,3.7727911,B25H1,Work benches; Portable stands or supports for p...,"Work benches; Portable stands or supports for positioning portable tools or work to be operated on thereby[1,2006.01]"
5.46854,-2.2354193,C12G3,"Preparation of other alcoholic beverages[1,2006...","Preparation of other alcoholic beverages[1,2006.01,2019.01]"
5.611005,1.4473721,C22C14,or C22C,or C22C
12.190076,5.575038,G01M13,"Testing of machine parts [1,2006.01,2019.01]","Testing of machine parts [1,2006.01,2019.01]"
8.944354,8.909413,F16K51,Other details not peculiar to particular types ...,"Other details not peculiar to particular types of valves or cut-off apparatus [1,2006.01]"
9.877919,2.1628482,B65B43,"Forming, feeding, opening, or setting-up contai...","Forming, feeding, opening, or setting-up containers or receptacles in association with packaging  (forming pockets in sheets, blanks, or webs, by pressing the material into forming dies or moving it through folding dies B65B"
9.861856,7.496418,F16C23,"takes precedence)[1,2006.01]","takes precedence)[1,2006.01]"
15.253218,1.2690951,E05C9,Arrangement of simultaneously-actuated bolts or...,Arrangement of simultaneously-actuated bolts or other securing devices at well-separated positions on the same wing (essentially involving locking means E05B
4.8082633,2.2597773,G03F7,"Photomechanical, e.g. photolithographic, produc...","Photomechanical, e.g. photolithographic, production of textured or patterned surfaces, e.g. printed surfaces; Materials therefor, e.g. comprising photoresists; Apparatus specially adapted therefor  (using photoresist structures for special production processes, see the relevant places, e.g. B44C, H01L, e.g.H01L"
14.883234,1.5783546,E05F3,"Closers or openers with braking devices, e.g. c...","Closers or openers with braking devices, e.g. checks; Construction of pneumatic or liquid braking devices  (construction of non-pneumatic or non-liquid braking devices E05F"
12.3805065,0.19563432,B60C17,Tyres characterised by means enabling restricte...,"Tyres characterised by means enabling restricted operation in damaged or deflated condition; Accessories therefor[1,2006.01]"
4.9671264,-3.0543048,C12N1,,
9.351371,4.3491983,A47B88,"Drawers for tables, cabinets or like furniture;...","Drawers for tables, cabinets or like furniture; Guidesfor drawers (A47B"
6.0860195,5.0212293,H01L33,Semiconductor devices with at least one potenti...,Semiconductor devices with at least one potential-jump barrier or surface barrier specially adapted forlight emission; Processes or apparatus specially adapted for the manufacture or treatment thereof or of parts thereof; Details thereof  (H10K
9.872814,4.0292645,B65F3,Vehicles particularly adapted for collecting re...,Vehicles particularly adapted for collecting refuse  (vehicles in general B60; driving vehicle equipment or auxiliaries B60K; discharging contents by tilting entire vehicles B65G; wheeled apparatus for emptying sewers or cesspools E03F
15.107827,4.642097,H04W68,"User notification, e.g. alerting or paging, for...","User notification, e.g. alerting or paging, for incoming communication, change of service or the like[2009.01]"
5.850004,7.183541,F24H1,,
5.3911467,-2.2072356,A23F3,"Tea; Tea substitutes; Preparations thereof[1,20...","Tea; Tea substitutes; Preparations thereof[1,2006.01]"
